Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-omar.minimal.ig.json	2554	-	0	0	0	0	0	0	11	78	0	0	0	0	0	0	0	1	0	0	173	161	0	0	0	2	0	2
fsh-generated/resources/Patient-ExamplePatient.json	465	13	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	120	113	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-FavoriteColor.json	1216	10	0	26	1	0	1	1	1	31	0	0	0	0	0	0	0	0	0	0	173	1457	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-minimal-patient.json	619	11	0	56	1	0	0	0	0	29	0	0	0	0	0	0	0	1	0	0	380	2075	0	0	0	5	1	3
\fsh-generated\includes\fsh-link-references.md	160	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1118	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\changes.md	65	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\input\pagecontent\index.md	234	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	2951	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
